Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
ISFILEFILTERABLE,ISFILEFILTERABLE,,ISFILEFILTERABLE,,,,ABC,Unknown
ISO_SPEED_RATINGS,ISO_SPEED_RATINGS,,ISO_SPEED_RATINGS,,,,DEF,Unknown
JIRA-SYSTEM-IMAGE-TYPE,JIRA-SYSTEM-IMAGE-TYPE,,JIRA-SYSTEM-IMAGE-TYPE,,,,GHI,Unknown
JPEG_IF_BYTE_COUNT,JPEG_IF_BYTE_COUNT,,JPEG_IF_BYTE_COUNT,,,,ABC,Unknown
JPEG_IF_OFFSET,JPEG_IF_OFFSET,,JPEG_IF_OFFSET,,,,DEF,Unknown
KEYVIEWVERSION,KEYVIEWVERSION,,KEYVIEWVERSION,,,,ABC,Unknown
Keywords,KEYWORDS,,Keywords,,,,DEF,Unknown
LANGUAGE,LANGUAGE,,LANGUAGE,,,,GHI,Unknown
Last Author,LASTAUTHOR,,Last Author,,,,ABC,Unknown
Last Printed,LASTPRINTED,,Last Printed,,,,DEF,Unknown
AppModifiedUtc,LASTSAVE_DTM,,AppModifiedUtc,,,,GHI,Unknown
LASTSAVED,LASTSAVED,,LASTSAVED,,,,ABC,Unknown
LEXMACHINAISRUNNING,LEXMACHINAISRUNNING,,LEXMACHINAISRUNNING,,,,DEF,Unknown
Line Count,LINECOUNT,,Line Count,,,,GHI,Unknown
Links Dirty,LINKSDIRTY,,Links Dirty,,,,ABC,Unknown
LINKSUPTODATE,LINKSUPTODATE,,LINKSUPTODATE,,,,DEF,Unknown
LOCATION_MATCH,LOCATION_MATCH,,LOCATION_MATCH,,,,ABC,Unknown
LOOSE_MAIL_TYPE,LOOSE_MAIL_TYPE,,LOOSE_MAIL_TYPE,,,,DEF,Unknown
Mail,MAIL,,Mail,,,,GHI,Unknown
MAIL_MSG_ID1,MAIL_MSG_ID1,,MAIL_MSG_ID1,,,,ABC,Unknown
MAIL_MSG_ID2,MAIL_MSG_ID2,,MAIL_MSG_ID2,,,,DEF,Unknown
MAKE,MAKE,,MAKE,,,,GHI,Unknown
Manager,MANAGER,,Manager,,,,ABC,Unknown
InternetMessageID,MAPIENTRYID,,InternetMessageID,,,,DEF,Unknown
MAPI Path,MAPIPATH,,MAPI Path,,,,GHI,Unknown
MATTERNO,MATTERNO,,MATTERNO,,,,ABC,Unknown
MAX_APERTURE_VALUE,MAX_APERTURE_VALUE,,MAX_APERTURE_VALUE,,,,DEF,Unknown
MESSAGEID,MESSAGEID,,MESSAGEID,,,,ABC,Unknown
METERING_MODE,METERING_MODE,,METERING_MODE,,,,DEF,Unknown
MICROSOFT_THEME,MICROSOFT_THEME,,MICROSOFT_THEME,,,,GHI,Unknown
MICROSYSTEMSCOMPARISON,MICROSYSTEMSCOMPARISON,,MICROSYSTEMSCOMPARISON,,,,ABC,Unknown
MMCLIPS,MMCLIPS,,MMCLIPS,,,,DEF,Unknown
MODEL,MODEL,,MODEL,,,,GHI,Unknown
NativeRelativePath,NativeRelativePath,,NativeRelativePath,,,,ABC,Unknown
NOTECOUNT,NOTECOUNT,,NOTECOUNT,,,,DEF,Unknown
ORDER,ORDER,,ORDER,,,,GHI,Unknown
ORIENTATION,ORIENTATION,,ORIENTATION,,,,ABC,Unknown
ORIGINATOR,ORIGINATOR,,ORIGINATOR,,,,DEF,Unknown
PAGINATION_OFFSETS,PAGINATION_OFFSETS,,PAGINATION_OFFSETS,,,,ABC,Unknown
Paragraph Count,PARCOUNT,,Paragraph Count,,,,DEF,Unknown
PARENT_FILEMODIFIEDTIME,PARENT_FILEMODIFIEDTIME,,PARENT_FILEMODIFIEDTIME,,,,GHI,Unknown
PARENT_FROM,PARENT_FROM,,PARENT_FROM,,,,ABC,Unknown
PARENT_SENT,PARENT_SENT,,PARENT_SENT,,,,DEF,Unknown
PARENT_SUBJECT,PARENT_SUBJECT,,PARENT_SUBJECT,,,,GHI,Unknown
Parent Index,PARENTINDEX,,Parent Index,,,,ABC,Unknown
PARTNERNUMBER,PARTNERNUMBER,,PARTNERNUMBER,,,,DEF,Unknown
PCDOCSNO,PCDOCSNO,,PCDOCSNO,,,,GHI,Unknown
PINGDOCUMENTID,PINGDOCUMENTID,,PINGDOCUMENTID,,,,ABC,Unknown
PR_ATTACH_LONG_FILENAME,PR_ATTACH_LONG_FILENAME,,PR_ATTACH_LONG_FILENAME,,,,DEF,Unknown
ConversationIndex,PR_CONVERSATION_INDEX,,ConversationIndex,,,,ABC,Unknown
Conversation Topic,PR_CONVERSATION_TOPIC,,Conversation Topic,,,,DEF,Unknown
Display BCC,PR_DISPLAY_BCC,,Display BCC,,,,GHI,Unknown
Display CC,PR_DISPLAY_CC,,Display CC,,,,ABC,Unknown
PR_DISPLAY_NAME,PR_DISPLAY_NAME,,PR_DISPLAY_NAME,,,,DEF,Unknown
Display To,PR_DISPLAY_TO,,Display To,,,,GHI,Unknown
PR_END_DATE,PR_END_DATE,,PR_END_DATE,,,,ABC,Unknown
PR_FLAG_STATUS,PR_FLAG_STATUS,,PR_FLAG_STATUS,,,,DEF,Unknown
Importance,PR_IMPORTANCE,,Importance,,,,GHI,Unknown
Internet Message ID,PR_INTERNET_MESSAGE_ID,,Internet Message ID,,,,ABC,Unknown
Time Message Delivered,PR_MESSAGE_DELIVERY_TIME,,Time Message Delivered,,,,DEF,Unknown
Sent Representing Name,PR_SENT_REPRESENTING_NAME,,Sent Representing Name,,,,ABC,Unknown
PR_START_DATE,PR_START_DATE,,PR_START_DATE,,,,DEF,Unknown
PR_SUBJECT,PR_SUBJECT,,PR_SUBJECT,,,,GHI,Unknown
InternetHeaders,PR_TRANSPORT_MESSAGE_HEADERS_W,,InternetHeaders,,,,ABC,Unknown
PRAGMA,PRAGMA,,PRAGMA,,,,DEF,Unknown
PRESENTATIONTARGET,PRESENTATIONTARGET,,PRESENTATIONTARGET,,,,GHI,Unknown
Priority,PRIORITY,,Priority,,,,ABC,Unknown
PROCESSINGERRORCODE,PROCESSINGERRORCODE,,PROCESSINGERRORCODE,,,,DEF,Unknown
ProcessingErrorDescription,PROCESSINGERRORDESCRIPTION,,ProcessingErrorDescription,,,,GHI,Unknown
PROGID,PROGID,,PROGID,,,,ABC,Unknown
PROJECTCODE,PROJECTCODE,,PROJECTCODE,,,,DEF,Unknown
READTEMPLATESETTINGSXML,READTEMPLATESETTINGSXML,,READTEMPLATESETTINGSXML,,,,ABC,Unknown
RECIPIENT_LIST,RECIPIENT_LIST,,RECIPIENT_LIST,,,,DEF,Unknown
RESOLUTION_UNIT,RESOLUTION_UNIT,,RESOLUTION_UNIT,,,,GHI,Unknown
RESPONSE_SENDER_NAME,RESPONSE_SENDER_NAME,,RESPONSE_SENDER_NAME,,,,ABC,Unknown
Revision Number,REVNUMBER,,Revision Number,,,,DEF,Unknown
ROBOTS,ROBOTS,,ROBOTS,,,,GHI,Unknown
SAMPLE_RATE,SAMPLE_RATE,,SAMPLE_RATE,,,,ABC,Unknown
SAMPLE_SIZE,SAMPLE_SIZE,,SAMPLE_SIZE,,,,DEF,Unknown
Scale Crop,SCALECROP,,Scale Crop,,,,GHI,Unknown
SCENE_TYPE,SCENE_TYPE,,SCENE_TYPE,,,,ABC,Unknown
Security,SECURITY,,Security,,,,DEF,Unknown
SENSING_METHOD,SENSING_METHOD,,SENSING_METHOD,,,,ABC,Unknown
Date Sent,SENT,,Date Sent,,,,DEF,Unknown
Time Sent,SENTTIME,,Time Sent,,,,GHI,Unknown
SHAREDDOC,SHAREDDOC,,SHAREDDOC,,,,ABC,Unknown
SHAREDOC,SHAREDOC,,SHAREDOC,,,,DEF,Unknown
SHUTTER_SPEED_VALUE,SHUTTER_SPEED_VALUE,,SHUTTER_SPEED_VALUE,,,,GHI,Unknown
SL_DOCUMENT_DESCRIPTION_MATCH,SL_DOCUMENT_DESCRIPTION_MATCH,,SL_DOCUMENT_DESCRIPTION_MATCH,,,,ABC,Unknown
SL_ENTERED_BY_MATCH,SL_ENTERED_BY_MATCH,,SL_ENTERED_BY_MATCH,,,,DEF,Unknown
SL_PROJECT_CODE_MATCH,SL_PROJECT_CODE_MATCH,,SL_PROJECT_CODE_MATCH,,,,GHI,Unknown
SL_TITLE,SL_TITLE,,SL_TITLE,,,,ABC,Unknown
SLIDECOUNT,SLIDECOUNT,,SLIDECOUNT,,,,DEF,Unknown
SOFTWARE,SOFTWARE,,SOFTWARE,,,,ABC,Unknown
Statuses,Statuses,,Statuses,,,,DEF,Unknown
Subfile Index,SUBFILEINDEX,,Subfile Index,,,,GHI,Unknown
SUBFILEINDEXCSV,SUBFILEINDEXCSV,,SUBFILEINDEXCSV,,,,ABC,Unknown
Subfile Type,SUBFILETYPE,,Subfile Type,,,,DEF,Unknown
TAXCATCHALL,TAXCATCHALL,,TAXCATCHALL,,,,GHI,Unknown
TEMPAUTHORNAME,TEMPAUTHORNAME,,TEMPAUTHORNAME,,,,ABC,Unknown
TEMPDMSDOCNAME,TEMPDMSDOCNAME,,TEMPDMSDOCNAME,,,,DEF,Unknown
TEMPEXTRACTIONFILENAME,TEMPEXTRACTIONFILENAME,,TEMPEXTRACTIONFILENAME,,,,GHI,Unknown
Template,TEMPLATE,,Template,,,,ABC,Unknown
TEMPPCDOCSDOCNAME,TEMPPCDOCSDOCNAME,,TEMPPCDOCSDOCNAME,,,,DEF,Unknown
TERMID,TERMID,,TERMID,,,,ABC,Unknown
TERMNAME,TERMNAME,,TERMNAME,,,,DEF,Unknown
TEXTEXPECTED,TEXTEXPECTED,,TEXTEXPECTED,,,,GHI,Unknown
TextRelativePath,TextRelativePath,,TextRelativePath,,,,ABC,Unknown
TIFFING_SIZE,TIFFING_SIZE,,TIFFING_SIZE,,,,DEF,Unknown
TIFFING_SLIPSHEET_REASON_PARAMETRIC,TIFFING_SLIPSHEET_REASON_PARAMETRIC,,TIFFING_SLIPSHEET_REASON_PARAMETRIC,,,,GHI,Unknown
Title,TITLE,,Title,,,,ABC,Unknown
TITLESOFPARTS,TITLESOFPARTS,,TITLESOFPARTS,,,,DEF,Unknown
TOPHASALREADYBEENMANUALLYCHANGED,TOPHASALREADYBEENMANUALLYCHANGED,,TOPHASALREADYBEENMANUALLYCHANGED,,,,GHI,Unknown
TRAPPED,TRAPPED,,TRAPPED,,,,ABC,Unknown
URL,URL,,URL,,,,DEF,Unknown
VENUE,VENUE,,VENUE,,,,ABC,Unknown
VERSION,VERSION,,VERSION,,,,DEF,Unknown
Version Number,VERSIONNUMBER,,Version Number,,,,GHI,Unknown
VERTICAL_RESOLUTION,VERTICAL_RESOLUTION,,VERTICAL_RESOLUTION,,,,ABC,Unknown
VIEWPORT,VIEWPORT,,VIEWPORT,,,,DEF,Unknown
VIRTUAL_PATH_SEGMENT_2,VIRTUAL_PATH_SEGMENT_2,,VIRTUAL_PATH_SEGMENT_2,,,,GHI,Unknown
VIRTUAL_PATH_SEGMENT_3,VIRTUAL_PATH_SEGMENT_3,,VIRTUAL_PATH_SEGMENT_3,,,,ABC,Unknown
VIRTUAL_PATH_SEGMENT_4,VIRTUAL_PATH_SEGMENT_4,,VIRTUAL_PATH_SEGMENT_4,,,,DEF,Unknown
VIRTUAL_PATH_SEGMENT_5,VIRTUAL_PATH_SEGMENT_5,,VIRTUAL_PATH_SEGMENT_5,,,,GHI,Unknown
VIRTUAL_PATH_SEGMENT_6,VIRTUAL_PATH_SEGMENT_6,,VIRTUAL_PATH_SEGMENT_6,,,,ABC,Unknown
VIRTUAL_PATH_SEGMENT_7,VIRTUAL_PATH_SEGMENT_7,,VIRTUAL_PATH_SEGMENT_7,,,,DEF,Unknown
VIRTUAL_PATH_SEGMENT_8,VIRTUAL_PATH_SEGMENT_8,,VIRTUAL_PATH_SEGMENT_8,,,,ABC,Unknown
VIRTUAL_PATH_SEGMENT_9,VIRTUAL_PATH_SEGMENT_9,,VIRTUAL_PATH_SEGMENT_9,,,,DEF,Unknown
Virtual Path,VIRTUALPATH,,Virtual Path,,,,GHI,Unknown
VOLTAGEZFRTYPE,VOLTAGEZFRTYPE,,VOLTAGEZFRTYPE,,,,ABC,Unknown
VOLTAGEZFRVERSION,VOLTAGEZFRVERSION,,VOLTAGEZFRVERSION,,,,DEF,Unknown
WIDTH,WIDTH,,WIDTH,,,,GHI,Unknown
WIDTH__PIXELS_,WIDTH__PIXELS_,,WIDTH__PIXELS_,,,,ABC,Unknown
Word Count,WORDCOUNT,,Word Count,,,,DEF,Unknown
WS_TRACKING_ID,WS_TRACKING_ID,,WS_TRACKING_ID,,,,GHI,Unknown
XD_SIGNATURE,XD_SIGNATURE,,XD_SIGNATURE,,,,ABC,Unknown
XML_COM.ADOBE.XMP,XML_COM.ADOBE.XMP,,XML_COM.ADOBE.XMP,,,,DEF,Unknown
X-UA-COMPATIBLE,X-UA-COMPATIBLE,,X-UA-COMPATIBLE,,,,ABC,Unknown
YCBCR_POSITIONING,YCBCR_POSITIONING,,YCBCR_POSITIONING,,,,DEF,Unknown
