Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
Legal Rev Comments,TAG_REG_LEGAL_COMMENTS_MATCH,Legal Rev Comments,Legal Rev Comments,,Memo,Custom,GHI,Unknown
Legal Rev Complete,TAG_REG_LEGAL_COMPLETE_NUMERIC,Legal Rev Complete,Legal Rev Complete,,Boolean,Custom,ABC,Unknown
Legal Rev Date,TAG_REG_LEGALREV_NUMERICDATE,Legal Rev Date,Legal Rev Date,,Date,Custom,DEF,Unknown
Legal Rev Decision,TAG_REG_LEGAL_DECISION_MATCH,Legal Rev Decision,Legal Rev Decision,,Dropdown List,Custom,ABC,Unknown
Legal Reviewer,TAG_REG_LEGALREVIEWER_MATCH_PARAMETRIC,Legal Reviewer,Legal Reviewer,,Dropdown List,Custom,DEF,Unknown
LIVELINK_ID_MATCH,LIVELINK_ID_MATCH,Livelink ID,LIVELINK_ID_MATCH,,Text,Custom,GHI,Unknown
LIVELINK_LOCATION_MATCH,LIVELINK_LOCATION_MATCH,Livelink Location,LIVELINK_LOCATION_MATCH,,Text,Email,ABC,Unknown
LPP or Protected Item reviewed,TAG_PROTECTED_ITEM_REVIEWED_NUMERIC,LPP or Protected Item - reviewed,LPP or Protected Item reviewed,,Boolean,Email,DEF,Unknown
LPP or Protected Item Comments,TAG_PROTECTED_ITEM_COMMENTS_MATCH,LPP or Protected Item Comments,LPP or Protected Item Comments,,Memo,Custom,GHI,Unknown
LPP or Protected Item Determination,TAG_PROTECTED_ITEM_DETERMINATION_MATCH,LPP or Protected Item Determination,LPP or Protected Item Determination,,List (presented as radio button),Custom,ABC,Unknown
EMS MD5,MD5,MD5 Hash,EMS MD5,,Text,Appointment,DEF,Unknown
Millnet Document Description,TAG_DOCUMENT_DESCRIPTION_MATCH,Millnet Document Description,Millnet Document Description,,Text,Custom,GHI,Unknown
DRE_Reference,#DREREFERENCE,Native Reference,DRE_Reference,,Text,Custom,ABC,Unknown
Non LPP or Protected Item Comments,TAG_NON_LPP_OR_PROTECTED_ITEM_COMMENTS_MATCH,Non LPP or Protected Item Comments,Non LPP or Protected Item Comments,,Memo,Custom,DEF,Unknown
,NUIX_DUPLICATE_CUSTODIAN_MATCH,Nuix Duplicate Custodian,,,Text,Custom,ABC,Unknown
,NUIX_DUPLICATE_DATES_MATCH,Nuix Duplicate Dates,,,Text,MS Office & PDF,DEF,Unknown
,NUIX_DUPLICATE_PATHS_MATCH,Nuix Duplicate File Path,,,Text,MS Office & PDF,GHI,Unknown
,NUIX_DUPLICATE_GUID_MATCH,Nuix Duplicate GUID,,,Text,Standard,ABC,Unknown
NUIX GUID,NUIX_GUID_MATCH,Nuix GUID,NUIX GUID,,Text,Custom,DEF,Unknown
NUIX Parent GUID,NUIX_PARENT_GUID_MATCH,Nuix Parent GUID,NUIX Parent GUID,,Text,Custom,GHI,Unknown
NUIX Tags,NUIX_TAGS_MATCH,Nuix Tags,NUIX Tags,,Text,Custom,ABC,Unknown
Obtained as a result of,TAG_OBTAINED_MATCH,Obtained By,Obtained as a result of,,Text,Custom,DEF,Unknown
OCR Eligible,AUN_OCR_ELIGIBLE,OCR Eligible,OCR Eligible,,undefined,Standard,GHI,Unknown
EMS OCR Processed,AUN_OCRED,OCR Processed,EMS OCR Processed,,undefined,Standard,ABC,Unknown
OS Date Created,FILECREATED_NUMERICDATE,OS Date Created,OS Date Created,,undefined,Custom,DEF,Unknown
OS Date File Last Accessed,FILEACCESSED_NUMERICDATE,OS Date Last Accessed,OS Date File Last Accessed,,undefined,Custom,ABC,Unknown
AppModified,FILEMODIFIED_NUMERICDATE,OS Date Last Modified,AppModified,,undefined,Custom,DEF,Unknown
Outlook Item Class,PR_MESSAGE_CLASS,Outlook Item Class,Outlook Item Class,,Dropdown List,Custom,GHI,Unknown
PageCount,PAGECOUNT,Page Count,PageCount,,Text,Custom,ABC,Unknown
Host Document ID,#DREPARENTREFERENCE_ID,Parent UUID,Host Document ID,,Text,MS Office & PDF,DEF,Unknown
Potential Evidence Review Complete,TAG_POTENTIAL_EVIDENCE_REVIEW_NUMERIC,Potential Evidence Review Complete,Potential Evidence Review Complete,,Boolean,Custom,GHI,Unknown
Potential LPP or Protected Item,TAG_PROTECTED_ITEM_NUMERIC,Potential LPP or Protected Item,Potential LPP or Protected Item,,Boolean,Custom,ABC,Unknown
,SL_PRODUCED_REFERENCE_MATCH,Produced Exhibit Reference number,,,Text,Unknown,DEF,Unknown
,TAG_PRODUCING_STATEMENT_MATCH,Producing Statement,,,Text,Custom,GHI,Unknown
