Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
AUN_TIFFREDACT_REASON_10,AUN_TIFFREDACT_REASON_10,,AUN_TIFFREDACT_REASON_10,,,,,Unknown
AUN_TIFFREDACT_REASON_11,AUN_TIFFREDACT_REASON_11,,AUN_TIFFREDACT_REASON_11,,,,,Unknown
AUN_TIFFREDACT_REASON_12,AUN_TIFFREDACT_REASON_12,,AUN_TIFFREDACT_REASON_12,,,,,Unknown
AUN_TIFFREDACT_REASON_13,AUN_TIFFREDACT_REASON_13,,AUN_TIFFREDACT_REASON_13,,,,,Unknown
AUN_TIFFREDACT_REASON_14,AUN_TIFFREDACT_REASON_14,,AUN_TIFFREDACT_REASON_14,,,,,Unknown
AUN_TIFFREDACT_REDACTIONSET_10,AUN_TIFFREDACT_REDACTIONSET_10,,AUN_TIFFREDACT_REDACTIONSET_10,,,Custom,,Unknown
AUN_TIFFREDACT_REDACTIONSET_11,AUN_TIFFREDACT_REDACTIONSET_11,,AUN_TIFFREDACT_REDACTIONSET_11,,,Custom,,Unknown
AUN_TIFFREDACT_REDACTIONSET_12,AUN_TIFFREDACT_REDACTIONSET_12,,AUN_TIFFREDACT_REDACTIONSET_12,,,MS Office & PDF,,Unknown
AUN_TIFFREDACT_REDACTIONSET_13,AUN_TIFFREDACT_REDACTIONSET_13,,AUN_TIFFREDACT_REDACTIONSET_13,,,EDT,,Unknown
AUN_TIFFREDACT_REDACTIONSET_14,AUN_TIFFREDACT_REDACTIONSET_14,,AUN_TIFFREDACT_REDACTIONSET_14,,,Custom,,Unknown
AUN_VIRTUAL_CUSTODIAN,AUN_VIRTUAL_CUSTODIAN,Custodian (All),EMS DocLibrary Custodian,,Dropdown List,Email,,Unknown
AUN_VIRTUAL_GROUP,AUN_VIRTUAL_GROUP,Group Name (All),EMS DocLibrary Group,,Dropdown List,Appointment,,Unknown
AUN_VIRTUAL_SOURCE_DESCRIPTION,AUN_VIRTUAL_SOURCE_DESCRIPTION,,AUN_VIRTUAL_SOURCE_DESCRIPTION,,,Custom,,Unknown
AUN_VIRTUAL_SOURCE_MEDIA_ID,AUN_VIRTUAL_SOURCE_MEDIA_ID,,AUN_VIRTUAL_SOURCE_MEDIA_ID,,,Other,,Unknown
AUN_VIRTUAL_SOURCE_MEDIA_NAME,AUN_VIRTUAL_SOURCE_MEDIA_NAME,,AUN_VIRTUAL_SOURCE_MEDIA_NAME,,,Custom,,Unknown
AUN_VIRTUAL_SOURCE_NAME,AUN_VIRTUAL_SOURCE_NAME,Source Name (All),EMS DocLibrary Source,,Dropdown List,Custom,,Unknown
AUN_WORKPOOL_ASSIGNED_MATCH_PARAMETRIC,AUN_WORKPOOL_ASSIGNED_MATCH_PARAMETRIC,Workpool - Assigned,,,Dropdown List,Custom,,Unknown
AUN_WORKPOOL_DONE_MATCH_PARAMETRIC,AUN_WORKPOOL_DONE_MATCH_PARAMETRIC,Workpool - Done,,,Dropdown List,Custom,,Unknown
AUN_WORKPOOL_MATCH_PARAMETRIC,AUN_WORKPOOL_MATCH_PARAMETRIC,Workpool,,,Dropdown List,Custom,,Unknown
AUN_WORKPOOL_UNASSIGNED_MATCH_PARAMETRIC,AUN_WORKPOOL_UNASSIGNED_MATCH_PARAMETRIC,Workpool - Unassigned,,,Dropdown List,Custom,,Unknown
Author,FROM,From,Author,,Text,Custom,,Unknown
AXPAUTHOR,AXPAUTHOR,,AXPAUTHOR,,,Custom,,Unknown
AXPDATACLASSIFICATION,AXPDATACLASSIFICATION,,AXPDATACLASSIFICATION,,,Custom,,Unknown
AXPDATACLASSIFICATIONFORSEARCH,AXPDATACLASSIFICATIONFORSEARCH,,AXPDATACLASSIFICATIONFORSEARCH,,,Custom,,Unknown
Bates End,SL_CONTROL_END_NUMBER_MATCH,Bates End,Bates End,,Text,Custom,,Unknown
Bates Start,SL_CONTROL_BEGIN_NUMBER_MATCH,Bates Start,Bates Start,,Text,Custom,,Unknown
Best Date,BESTDATE_NUMERICDATE,Best Date,Date,,Date,Standard,,Unknown
BGAGREED,BGAGREED,,BGAGREED,,,Custom,,Unknown
BGAS,BGAS,,BGAS,,,Custom,,Unknown
BGAS1,BGAS1,,BGAS1,,,Custom,,Unknown
BGATTESTATTORNEY,BGATTESTATTORNEY,,BGATTESTATTORNEY,,,Custom,,Unknown
BGATTESTDIRANDAUTHSIG,BGATTESTDIRANDAUTHSIG,,BGATTESTDIRANDAUTHSIG,,,Standard,,Unknown
BGATTESTDIRANDDIRORAUTHSIG,BGATTESTDIRANDDIRORAUTHSIG,,BGATTESTDIRANDDIRORAUTHSIG,,,Custom,,Unknown
BGATTESTGENERIC,BGATTESTGENERIC,,BGATTESTGENERIC,,,Custom,,Unknown
BGATTESTINCLADDRESS,BGATTESTINCLADDRESS,,BGATTESTINCLADDRESS,,,Custom,,Unknown
BGATTESTINDIVID,BGATTESTINDIVID,,BGATTESTINDIVID,,,Custom,,Unknown
BGATTESTSEAL,BGATTESTSEAL,,BGATTESTSEAL,,,Custom,,Unknown
BGATTESTSOLEDIRECTOR,BGATTESTSOLEDIRECTOR,,BGATTESTSOLEDIRECTOR,,,Custom,,Unknown
BGATTESTTWOATTORNEYS,BGATTESTTWOATTORNEYS,,BGATTESTTWOATTORNEYS,,,,,Unknown
BGATTESTTWODIRECTORS,BGATTESTTWODIRECTORS,,BGATTESTTWODIRECTORS,,,,,Unknown
BGAUTHORDDI,BGAUTHORDDI,,BGAUTHORDDI,,,,,Unknown
BGAUTHOREMAIL,BGAUTHOREMAIL,,BGAUTHOREMAIL,,,,,Unknown
BGAUTHORINITIALS,BGAUTHORINITIALS,,BGAUTHORINITIALS,,,,,Unknown
BGAUTHORJOBTITLE,BGAUTHORJOBTITLE,,BGAUTHORJOBTITLE,,,,,Unknown
BGAUTHOROFFICE,BGAUTHOROFFICE,,BGAUTHOROFFICE,,,,,Unknown
BGAUTHOROTHERNAME,BGAUTHOROTHERNAME,,BGAUTHOROTHERNAME,,,,,Unknown
BGAUTHORPREFERREDNAME,BGAUTHORPREFERREDNAME,,BGAUTHORPREFERREDNAME,,,,,Unknown
BGAUTHORTREATASPARTNER,BGAUTHORTREATASPARTNER,,BGAUTHORTREATASPARTNER,,,,,Unknown
BGBETWEENAND,BGBETWEENAND,,BGBETWEENAND,,,,,Unknown
BGBYINFAVOUROF,BGBYINFAVOUROF,,BGBYINFAVOUROF,,,,,Unknown
BGCLIENT,BGCLIENT,,BGCLIENT,,,,,Unknown
BGCLIENTNUMBER,BGCLIENTNUMBER,,BGCLIENTNUMBER,,,,,Unknown
BGCOPY,BGCOPY,,BGCOPY,,,,,Unknown
BGDATE,BGDATE,,BGDATE,,,,,Unknown
BGDECLARED,BGDECLARED,,BGDECLARED,,,,,Unknown
BGDOCUMENTNAME,BGDOCUMENTNAME,,BGDOCUMENTNAME,,,,,Unknown
BGDRAFT,BGDRAFT,,BGDRAFT,,,,,Unknown
BGDRAFTNUMBER,BGDRAFTNUMBER,,BGDRAFTNUMBER,,,,,Unknown
BGEMPLOYMENTAGREEMENT,BGEMPLOYMENTAGREEMENT,,BGEMPLOYMENTAGREEMENT,,,,,Unknown
BGEMPLOYMENTDEED,BGEMPLOYMENTDEED,,BGEMPLOYMENTDEED,,,,,Unknown
BGEMPLOYMENTSIGNOFF,BGEMPLOYMENTSIGNOFF,,BGEMPLOYMENTSIGNOFF,,,,,Unknown
BGFIRSTPAGE,BGFIRSTPAGE,,BGFIRSTPAGE,,,,,Unknown
BGISSUEDATE,BGISSUEDATE,,BGISSUEDATE,,,,,Unknown
BGLOGO,BGLOGO,,BGLOGO,,,,,Unknown
BGLTO,BGLTO,,BGLTO,,,,,Unknown
BGMAJORVERSION,BGMAJORVERSION,,BGMAJORVERSION,,,,,Unknown
BGMATTERDESCRIPTION,BGMATTERDESCRIPTION,,BGMATTERDESCRIPTION,,,,,Unknown
BGMATTERNUMBER,BGMATTERNUMBER,,BGMATTERNUMBER,,,,,Unknown
BGNAME,BGNAME,,BGNAME,,,,,Unknown
BGNAME1,BGNAME1,,BGNAME1,,,,,Unknown
BGOK,BGOK,,BGOK,,,,,Unknown
BGOPERATORINITIALS,BGOPERATORINITIALS,,BGOPERATORINITIALS,,,,,Unknown
BGOTHERPAGES,BGOTHERPAGES,,BGOTHERPAGES,,,,,Unknown
BGPARTNERDDI,BGPARTNERDDI,,BGPARTNERDDI,,,,,Unknown
BGPARTNEREMAIL,BGPARTNEREMAIL,,BGPARTNEREMAIL,,,,,Unknown
BGPARTNERINITIALS,BGPARTNERINITIALS,,BGPARTNERINITIALS,,,,,Unknown
BGPARTNERJOBTITLE,BGPARTNERJOBTITLE,,BGPARTNERJOBTITLE,,,,,Unknown
